dataset, descriptor, classifier, acc
kylberg,gabor,svm,0.9910714285714286
kylberg,gabor,nb,0.9430803571428571
kylberg,gabor,knn,0.9654017857142857
kth,gabor,svm,0.9379679144385027
kth,gabor,nb,0.5550802139037433
kth,gabor,knn,0.7871657754010695
kylberg,haar,svm,0.9274553571428571
kylberg,haar,nb,0.9006696428571429
kylberg,haar,knn,0.8794642857142857
kth,haar,svm,0.8
kth,haar,nb,0.5475935828877005
kth,haar,knn,0.7283422459893049
kylberg,db4,svm,0.921875
kylberg,db4,nb,0.8995535714285714
kylberg,db4,knn,0.8895089285714286
kth,db4,svm,0.7807486631016043
kth,db4,nb,0.5165775401069519
kth,db4,knn,0.7144385026737968
kylberg,lbp,svm,0.5636160714285714
kylberg,lbp,nb,0.8660714285714286
kylberg,lbp,knn,0.8191964285714286
kth,lbp,svm,0.16042780748663102
kth,lbp,nb,0.37433155080213903
kth,lbp,knn,0.611764705882353
kylberg,glcm,svm,0.6897321428571429
kylberg,glcm,nb,0.7544642857142857
kylberg,glcm,knn,0.6104910714285714
kth,glcm,svm,0.6502673796791444
kth,glcm,nb,0.5711229946524065
kth,glcm,knn,0.6010695187165775
Accuracy of model in predicting in dataset kylberg is 99.6%.
Accuracy of model in predicting in dataset kth is 99.3%.
