dataset, descriptor, classifier, acc, time
kylberg,gabor,svm,0.9910714285714286,0:00:52
kylberg,gabor,nb,0.9430803571428571,0:00:00
kylberg,gabor,knn,0.9776785714285714,0:00:00
kth,gabor,svm,0.9379679144385027,0:00:55
kth,gabor,nb,0.5550802139037433,0:00:00
kth,gabor,knn,0.9090909090909091,0:00:00
kylberg,haar,svm,0.9207589285714286,0:00:13
kylberg,haar,nb,0.9006696428571429,0:00:00
kylberg,haar,knn,0.8816964285714286,0:00:00
kth,haar,svm,0.7914438502673797,0:12:14
kth,haar,nb,0.5475935828877005,0:00:00
kth,haar,knn,0.7818181818181819,0:00:00
kylberg,db4,svm,0.9185267857142857,0:00:12
kylberg,db4,nb,0.8995535714285714,0:00:00
kylberg,db4,knn,0.8861607142857143,0:00:00
kth,db4,svm,0.7732620320855615,0:13:50
kth,db4,nb,0.5165775401069519,0:00:00
kth,db4,knn,0.774331550802139,0:00:00
kylberg,lbp,svm,0.5703125,0:00:06
kylberg,lbp,nb,0.8660714285714286,0:00:00
kylberg,lbp,knn,0.8415178571428571,0:00:00
kth,lbp,svm,0.19037433155080213,0:00:05
kth,lbp,nb,0.37433155080213903,0:00:00
kth,lbp,knn,0.6631016042780749,0:00:00
